#EXPECTED FORMAT: ratingDate;ratingPlace;purchasingDate;purchasingPlace;name;pack;bbe;brewInfo;aroma;appearance;taste;palate;overall;description
#SEPARATOR:;
2008-10-07;Parc 55, San Francisco;2008-10-07;California Grocery, San Francisco;Samuel Adams Octoberfest;Bottle 355ml;;;6;3;6;3;12;
2008-10-08;Emporio Rulli, San Francisco;;;Sierra Nevada Anniversary Ale 2007;Bottle 355ml;;;7;3;7;3;14;
2008-10-08;Some Irish Pub, San Francisco;;;New Belgium Fat Tire;Draft;;;3;3;5;3;9;
2008-10-09;Parc 55, San Francisco;2008-10-09;City Beer Store;Lindemans Framboise;Bottle 750ml;;;7;3;6;3;13;
2008-10-09;Parc 55, San Francisco;2008-10-09;City Beer Store;Russian River Blind Pig IPA;510;;;8;3;8;3;15;
2008-10-09;Parc 55, San Francisco;2008-10-09;City Beer Store;Stone 08.08.08 Vertical Epic Ale;Bottle 650ml;;;7;3;7;3;13;
2008-10-10;Cooper’s Pub & Restaurant, Monterey;;;Carmel Pale Ale;Draft;;;5;3;5;2;11;
2008-10-10;Monterey Plaza Hotel, Monterey;;;English Ales Big Sur Jubilee Golden Ale;Draft;;;5;3;4;2;9;
2008-10-13;The Belamar Hotel Manhattan Beach;2008-10-13;Ralphs, Manhattan Beach;Samuel Adams Cherry Wheat;Bottle 355ml;;;6;3;5;3;10;
2008-10-13;The Belamar Hotel Manhattan Beach;2008-10-13;Ralphs, Manhattan Beach;Tecate;Can 355ml;;;2;1;2;1;5;
2008-10-14;The Belamar Hotel Manhattan Beach;2008-10-14;Whole Foods Market, El Segundu;Firestone Double Barrel Ale;Bottle 355ml;;;7;3;7;3;14;
2008-10-14;The Belamar Hotel Manhattan Beach;2008-10-09;City Beer Store;Hair of the Dog Blue Dot Double IPA;Bottle 650ml;;;8;4;8;4;15;
2008-10-14;The Belamar Hotel Manhattan Beach;2008-10-14;Whole Foods Market, El Segundu;Indian Wells Amnesia I.P.A;Bottle 355ml;;;7;3;6;3;12;
2008-10-14;The Belamar Hotel Manhattan Beach;2008-10-09;City Beer Store;Melbourn Brothers Cherry;Bottle 355ml;;;7;3;7;3;14;
2008-10-14;The Belamar Hotel Manhattan Beach;2008-10-08;City Beer Store;Stone Imperial Russian Stout;Bottle 650ml;;;8;4;8;4;14;
2008-10-15;The Belamar Hotel Manhattan Beach;2008-10-14;The Wine House, Los An;Deschutes Mirror Pond Pale Ale;Bottle 355ml;;;7;3;7;3;14;
2008-10-16;The Belamar Hotel Manhattan Beach;2008-10-14;The Wine House, Los An;Russian River Damnation;Bottle 375ml;;;8;3;8;3;14;
2008-10-18;Hilton Grand Vacations Club on the Las Vegas Strip;2008-10-09;City Beer Store;Lost Abbey Devotion;Bottle 750ml;;;8;3;7;3;13;
2008-10-18;Hilton Grand Vacations Club on the Las Vegas Strip;2008-10-14;Whole Foods Market, El Segundu;Rogue Dead Guy Ale;Bottle 355ml;;;8;3;8;4;15;
2008-10-18;Hilton Grand Vacations Club on the Las Vegas Strip;2008-10-14;Whole Foods Market, El Segundu;Rogue Juniper Pale Ale;Bottle 355ml;;;7;3;7;3;14;
2008-10-19;Hilton Grand Vacations Club on the Las Vegas Strip;2008-10-19;7 Eleven, Las vegas Blvd;Samuel Adams Honey Porter;Bottle 355ml;;;7;4;7;3;13;
2008-10-19;Hilton Grand Vacations Club on the Las Vegas Strip;2008-10-19;7 Eleven, Las vegas Blvd;Samuel Adams Irish Red Ale;Bottle 355ml;;;6;3;5;3;12;
2008-10-20;Hilton Grand Vacations Club on the Las Vegas Strip;2008-10-19;7 Eleven, Las vegas Blvd;Samuel Adams Summer Ale;Bottle 355ml;;;6;3;6;3;13;
2008-10-21;Hilton Grand Vacations Club on the Las Vegas Strip;2008-10-19;7 Eleven, Las vegas Blvd;Brooklyn Pennant Pale Ale;Bottle 355ml;;;6;3;6;3;11;
2008-10-22;Hilton Grand Vacations Club on the Las Vegas Strip;2008-10-22;Hilton Las Vegas Pool Bar;Wittekerke;Bottle 330ml;;;6;3;6;2;12;
2008-11-22;Ruovesi;;Gift from Hessu;Köstritzer Schwarzbier;Bottle 500ml;;;6;3;5;2;11;
2008-11-29;Pirkkala;2008-11-28;Alko Kaleva;La Trappe Tripel;Bottle 330ml;;;7;3;8;3;14;
2008-12-05;Niko;;;Haandbryggeriet Dark Force;Bottle 500ml;;;8;4;8;4;14;
2008-12-05;Pirkkala;;Gift from Hessu;Puls Tume Kirss;Bottle 500ml;;;5;3;4;3;9;
2008-12-06;Pirkkala;2008-12-04;Alko Kaleva;Jacobsen Golden Naked Christmas Ale;Bottle 750ml;;;6;3;7;3;13;
2008-12-07;Pirkkala;2008-12-04;Alko Kaleva;Saku Kuld;Bottle 500ml;;;4;2;4;2;9;
2008-12-12;Pirkkala;2008-12-12;K-citymarket Turtola;Nokian Panimo Jouluolut III;Bottle 330ml;;;5;3;5;2;10;
2008-12-12;Pirkkala;2008-12-04;Alko Kaleva;Nokian Talvi IV;Bottle 330ml;;;5;3;5;3;10;
2008-12-12;Pirkkala;2008-12-04;Alko Kaleva;Ridgeway Warm Welcome;Bottle 500ml;;;6;3;6;3;12;
2008-12-13;Pirkkala;2008-12-12;K-citymarket Turtola;Nokian Tumma Kommodori 4.5%;Bottle 330ml;;;5;2;5;2;9;
2008-12-13;Pirkkala;2008-12-04;Alko Kaleva;Ridgeway Seriously Bad Elf;Bottle 500ml;;;7;3;6;3;13;
2008-12-13;Pirkkala;2008-12-04;Alko Kaleva;Stallhagen Påsk (Systembolaget Version);Bottle 330ml;;as Julbock;7;3;7;1;13;
2008-12-19;Pirkkala;2008-12-12;K-citymarket Turtola;Mack Juleøl 4.5%;Bottle 330ml;;;5;3;5;2;11;
2008-12-19;Pirkkala;2008-12-19;Alko Kaleva;Morland Hens Tooth;Bottle 500ml;;;5;3;5;3;11;
2008-12-19;Pirkkala;2008-12-04;Alko Kaleva;Åbro Julbock;Bottle 500ml;;;6;3;4;3;10;
2008-12-20;Pirkkala;2008-12-19;Alko Kaleva;Nørrebro Bombay Pale Ale;600;;;8;3;8;3;14;
2008-12-22;Antika;2008-12-21;Antika;Mythos;Bottle 330ml;;;3;2;3;1;7;
2009-01-??;Olutravintola Konttori;;;Avery The Maharaja Imperial India Pale Ale;Bottle 650ml;;;9;4;9;4;16;
2009-01-??;Olutravintola Konttori;;;Ommegang Abbey Ale;Bottle 750ml;;;8;4;8;4;16;
2009-01-09;Pirkkala;2009-01-09;Alko Kaleva;Flying Dog Old Scratch Amber Lager;Bottle 355ml;;;6;3;5;2;11;
2009-01-10;Pirkkala;2009-01-09;Alko Kaleva;Flying Dog Snake Dog IPA;Bottle 355ml;;;8;3;8;3;15;
2009-01-23;Pirkkala;2009-01-23;Alko Kaleva;Gayant La Goudale;Bottle 330ml;;;6;3;6;3;12;
2009-01-23;Pirkkala;2009-01-23;Alko Kaleva;Saint Landelin La Divine  ;Bottle 330ml;;;6;3;6;3;12;
2009-01-24;Pirkkala;2009-01-23;Alko Kaleva;Nørrebro Skärgaards Porter;Bottle 500ml;;;7;4;8;3;15;
2009-01-31;Pirkkala;2009-05-29;Alko Kaleva;Pardubick_ Porter (Boom) 19°;Bottle 500ml;;;7;3;7;3;14;
2009-02-05;Pirkkala;2009-02-02;Alko Kaleva;Broughton Champion Double Ale;Bottle 500ml;;;7;3;7;3;13;
2009-02-07;Pirkkala;2009-02-05;K-citymarket Turtola;Beijing Yanjing Beer;Bottle 330ml;;;3;2;3;2;9;
2009-02-07;Pirkkala;2009-02-05;K-citymarket Turtola;Tsingtao;Bottle 330ml;;;3;1;2;2;5;
2009-02-07;Ruovesi;2009-02-05;K-citymarket Turtola;Sapporo Premium Lager;Bottle 330ml;;;4;2;3;2;7;
2009-02-13;Pirkkala;2009-02-13;Alko Kaleva;Ayinger Ur-Weisse;Bottle 500ml;;;8;3;8;3;14;
2009-02-13;Pirkkala;2009-02-13;Alko Kaleva;Herold _ern_ Le_ák (Bohemian Black Lager) 13°;Bottle 330ml;;;7;3;7;3;14;
2009-02-13;Pirkkala;2009-01-23;Alko Kaleva;St. Sylvestre Gavroche;Bottle 330ml;;;7;3;8;3;14;
2009-02-14;Pirkkala;2009-02-13;Alko Kaleva;Karhu Korpisavu;Bottle 330ml;;;4;3;5;3;11;
2009-02-14;Pirkkala;2009-02-13;Alko Kaleva;Kulmbacher Mönchshof Bockbier;Bottle 500ml;;;6;3;6;3;12;
2009-02-19;Pirkkala;2009-02-19;K-citymarket Pirkkala;Okells IPA;Bottle 500ml;;;6;3;6;2;10;
2009-02-20;Pirkkala;2009-02-19;K-citymarket Pirkkala;Carlow Curim Gold;Bottle 500ml;;;7;3;6;3;12;
2009-02-20;Pirkkala;2009-02-19;K-citymarket Pirkkala;Okells Aile;Bottle 500ml;;;7;3;7;3;14;
2009-02-27;Ruovesi;2009-02-19;K-citymarket Pirkkala;Belhaven St.Andrews Ale;Bottle 500ml;;;6;3;5;2;10;
2009-02-27;Ruovesi;2009-02-26;K-citymarket Pirkkala;Goose Island Summertime;Bottle 355ml;;;5;3;5;2;10;
2009-02-28;Ruovesi;2009-02-13;Alko Kaleva;Aldaris Porteris;Bottle 500ml;;;6;4;7;3;12;
2009-03-06;Ruovesi;2009-03-05;Alko Kaleva;Heather Ales Fraoch;Bottle 500ml;;;6;3;6;3;12;
